frame,circle_x,circle_y,timestamp
15,0.4941620067946373,0.2728649748198597,2025-04-25 00:34:05.333
16,0.4924245650385903,0.2695211142350621,2025-04-25 00:34:05.333
17,0.4924245650385903,0.2695211142350621,2025-04-25 00:34:05.333
18,0.492448280227389,0.2711804977032295,2025-04-25 00:34:05.333
19,0.49076068078920915,0.2711568732062357,2025-04-25 00:34:05.333
20,0.49073750461102716,0.2694979319444669,2025-04-25 00:34:05.333
21,0.49076068078920915,0.2711568732062357,2025-04-25 00:34:05.333
22,0.4924245650385903,0.2695211142350621,2025-04-25 00:34:05.333
23,0.4907842997643571,0.27281628212431547,2025-04-25 00:34:05.333
24,0.49073750461102716,0.2694979319444669,2025-04-25 00:34:05.333
25,0.489074472258794,0.27113378633722524,2025-04-25 00:34:05.333
26,0.4890518289181415,0.26947528193925874,2025-04-25 00:34:05.333
27,0.4873458269969644,0.26779553540255646,2025-04-25 00:34:05.333
28,0.4856633715621619,0.2677743533595256,2025-04-25 00:34:05.333
29,0.48228263124290344,0.26607756600902105,2025-04-25 00:34:05.333
30,0.48054914130062293,0.26109413582350827,2025-04-25 00:34:05.333
31,0.4771827928830599,0.25940619752525573,2025-04-25 00:34:05.333
32,0.47544865227076694,0.2527823696069064,2025-04-25 00:34:05.333
33,0.4720835924690793,0.24945362580995614,2025-04-25 00:34:05.333
34,0.4703922343861325,0.24614238588837137,2025-04-25 00:34:05.333
35,0.4703922343861325,0.24614238588837137,2025-04-25 00:34:05.333
36,0.4703922343861325,0.24614238588837137,2025-04-25 00:34:05.333
37,0.46872760595864393,0.24613051444430917,2025-04-25 00:34:05.333
38,0.4670754867019875,0.2477674035803478,2025-04-25 00:34:05.333
39,0.47045679386918304,0.2543906128887323,2025-04-25 00:34:05.333
40,0.47221597328477616,0.2643159310187554,2025-04-25 00:34:05.333
41,0.47226660504732054,0.2692767565995588,2025-04-25 00:34:05.333
42,0.477409685882256,0.27927127057468365,2025-04-25 00:34:05.333
43,0.4809636779693298,0.2926021752327414,2025-04-25 00:34:05.333
44,0.4878978274560952,0.302711040951676,2025-04-25 00:34:05.333
45,0.489796468137742,0.31276889285669757,2025-04-25 00:34:05.333
46,0.4934329560138147,0.3228994633074267,2025-04-25 00:34:05.333
47,0.4919327599092959,0.3312592917089552,2025-04-25 00:34:05.333
48,0.49022340091398886,0.3312167115385477,2025-04-25 00:34:05.333
49,0.48685066989470316,0.33281427545850656,2025-04-25 00:34:05.333
50,0.47653366930861807,0.3275514515797437,2025-04-25 00:34:05.333
51,0.459489025678577,0.31722766625942855,2025-04-25 00:34:05.333
52,0.435896725028654,0.2953932014854157,2025-04-25 00:34:05.333
53,0.40286209351594193,0.27875584479926124,2025-04-25 00:34:05.333
54,0.3621679713023906,0.23786615329466565,2025-04-25 00:34:05.333
55,0.329975069467777,0.203763875631323,2025-04-25 00:34:05.333
56,0.2995334914469733,0.16971511311156864,2025-04-25 00:34:05.333
57,0.26583460707277035,0.1405667166425791,2025-04-25 00:34:05.333
58,0.2256097819857448,0.10646451092118173,2025-04-25 00:34:05.333
59,0.19162859927049508,0.08532543637888494,2025-04-25 00:34:05.333
60,0.15751166997148125,0.06079596205258547,2025-04-25 00:34:05.333
61,0.12156322026866488,0.042769764255908144,2025-04-25 00:34:05.333
62,0.0870909900708569,0.02631213376612386,2025-04-25 00:34:05.333
63,0.05081527204747229,0.018082125257499148,2025-04-25 00:34:05.333
64,0.016071630095642997,0.01147193679651309,2025-04-25 00:34:05.333
65,-0.020428659937625136,0.008155721586482268,2025-04-25 00:34:05.333
66,-0.05368049982700105,0.008144430573615849,2025-04-25 00:34:05.333
67,-0.09031082907488305,0.01310570008407969,2025-04-25 00:34:05.333
68,-0.12364207334358113,0.021382955671929087,2025-04-25 00:34:05.333
69,-0.16032804181078184,0.03296501519453099,2025-04-25 00:34:05.333
70,-0.19702440257783896,0.049512320028737795,2025-04-25 00:34:05.333
